latitude,longitude,event_date,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days
27.0076,88.251,06/27/2015 11:00:00 PM,152.8,112.4,45.6,20.1,13,0.422858333,-2.24,2,10
29.3908,79.4552,07-10-2015 00:00,204,76.1,38.1,25.1,16.3,0.4727,-0.85,2,10
24.8286,93.5935,05/31/2011 02:30:00 PM,132.7,87,61.3,29.5,19,0.435233333,4.93,3,10
32.371,77.2468,08-06-2010 01:00,95,59.2,39.2,11.8,0.5,0.351183333,3.55,2,10
7.6235,80.6349,02-07-2011 00:00,535.7,504.2,158.8,26.3,19.8,0.44945,-27.67,5,10
5.8305,95.3103,12/27/2014 12:00:00 AM,374.3,348.3,228.5,26.5,22.8,0.485466667,9.48,5,10
27.2298,94.0989,06/15/2008 12:00:00 AM,134.2,108.2,55.3,30.1,23.1,0.420666667,2.17,1,10
24.4136,91.7561,05-10-2014 09:00,252.4,211.2,133.2,33.3,21.9,0.411775,4.84,5,10
29.5833,80.2167,09-06-2007 00:00,212.9,96.8,65.6,24.3,17.5,0.488091667,6.02,4,10
25.9703,91.8584,09-06-2015 15:00,573.1,465.4,95.7,29.3,23.3,0.480975,-33.94,7,10
34.8142,74.3225,08/15/2010 12:00:00 AM,87.8,40.3,12.9,22.4,12,0.41175,0.85,1,10
22.6461,97.3193,10-06-2010 00:00,36.3,5.2,0.2,31.7,20.9,0.456291667,0,0,5
33.6303,74.4838,05/14/2015 09:00:00 AM,122.3,116.7,88.1,19.3,4.3,0.411866667,6.16,3,9
8.4951,76.921,11/13/2013 04:00:00 AM,26,23.6,18.4,29.6,23.3,0.223516667,3.17,0,3
16.5332,80.6103,08/31/2010 12:00:00 AM,120.8,94.4,23.4,32.1,23.9,0.435608333,-1.79,2,10
25.5145,90.2023,08/18/2015 09:00:00 AM,107.2,90.5,63.7,32.3,24.2,0.486933333,4.39,2,10
32.2473,78.037,07/13/2015 11:00:00 PM,35.8,35.8,34.7,15.5,-3.1,0.2889,1.01,0,3
27.36,87.6681,06-11-2015 00:00,112.2,82.1,49,23.6,16.9,0.417883333,2.44,1,10
30.262,79.2191,07/24/2013 12:00:00 AM,171.4,150.7,56.8,28.6,22.2,0.489675,-9.94,4,10
12.6445,75.605,08-10-2008 00:00,223.5,161.2,118.2,27.4,19.8,0.485875,13.4,4,10
7.4237,80.6104,11/26/2010 12:00:00 AM,160.9,136.1,50.2,27.3,19.9,0.4678,-4.54,3,10
33.7453,74.1794,02-05-2015 00:00,37.2,26.2,17,12.4,-4.2,0.467791667,0.12,0,3
9.8721,76.7046,06-02-2011 00:00,230.1,214.2,135.7,30,22.6,0.477991667,14.75,4,10
11.683,77.571,08/22/2014 10:30:00 PM,44.3,41.6,11.6,32.8,21.7,0.344083333,-1.34,1,3
19.153,72.9266,06/25/2010 12:00:00 AM,200.9,87.6,51.9,30.7,25.2,0.390333333,5.29,4,10
15.0275,74.1623,06/18/2016 12:00:00 AM,283.4,92.1,18.8,28.2,23,0.499825,-2.73,4,10
17.4303,73.5097,08/30/2011 12:00:00 AM,378.5,349.3,261.1,27.6,22.4,0.485733333,21.97,5,10
23.7118,90.4077,07/19/2011 12:00:00 AM,60.8,46,32.1,33,25.5,0.405991667,2.86,0,10
