event_id,latitude,longitude,event_date,event_year,event_month,event_day_of_week,event_hour,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,total_casualties,severity_class,country_name,admin_division_population,gazeteer_distance,slope,aspect,curvature
4403,24.8142,93.5444,06-10-2012 00:00,,,,,landslide,downpour,very_large,unknown,0,0,0,none,India,223523,40.42735,89.99919891,143.7073669,-10368000000
168,27.863,84.914,08-10-2007 00:00,,,,,complex,downpour,medium,unknown,6,0,6,low,Nepal,44632,41.00006,89.99700165,171.8699036,3888000000
5429,27.3425,88.2426,09-01-2013 18:00,,,,,landslide,downpour,medium,unknown,5,0,5,low,India,1147,23.35047,89.99897003,258.3262939,12960000000
8922,11.3237,76.9101,11-07-2015 00:00,,,,,rock_fall,unknown,small,above_road,0,0,0,none,India,5175,0.76656,89.99195099,71.56504822,-6480000000
2459,29.5477,79.3211,09/19/2010 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,19873,15.11187,89.99902344,349.3803406,-9072000000
265,29.5333,80.4333,09/15/2007 12:00:00 AM,,,,,landslide,rain,medium,unknown,0,0,0,none,Nepal,47571,22.39321,89.99363708,306.8699036,-16848000000
2091,30.6358,77.5435,07/17/2010 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,21787,23.21927,89.99916077,331.2388306,-6480000000
2140,25.0477,92.801,07/25/2010 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,152393,24.4132,89.99875641,72.97947693,-2592000000
9263,35.2646,71.9975,02-01-2016 00:00,,,,,landslide,snowfall_snowmelt,small,natural_slope,1,1,2,low,Pakistan,29869,12.68215,89.99687958,101.3099289,-3888000000
2243,25.70223725,94.04619681,08/13/2010 12:00:00 AM,,,,,landslide,downpour,medium,mine,0,0,0,none,India,92113,5.6985,89.99712372,61.69924545,-1296000000
9074,27.1176,88.1069,07/20/2016 12:00:00 AM,,,,,landslide,downpour,large,natural_slope,3,0,3,low,India,1035,13.24941,89.99873352,40.16957855,-2592000000
8229,28.2324,83.0006,07-04-2016 00:00,,,,,mudslide,downpour,medium,unknown,3,0,3,low,Nepal,0,19.60828,89.99900818,208.3611908,-5184000000
4515,30.7395,77.2847,08/24/2012 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,2865,12.48798,89.9991684,325.1620789,-9072000000
4953,29.3167,81.5833,06/18/2013 09:00:00 AM,,,,,landslide,downpour,large,unknown,12,2,14,high,Nepal,0,40.41216,89.99937439,255.1413879,-57024000000
2554,23.9723,96.8566,10-06-2010 22:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,Myanmar [Burma],47920,49.3187,89.99865723,315.8551025,7776000000
4202,32.5655,76.1201,02/16/2012 12:00:00 AM,,,,,landslide,downpour,medium,unknown,2,0,2,low,India,21502,1.20636,89.99893951,288.4349365,5184000000
6804,33.3376,75.1922,02/26/2015 12:00:00 AM,,,,,landslide,unknown,medium,above_road,2,2,4,low,India,3278,13.4555,89.99913025,258.5360413,-3888000000
767,28.089,84.4125,08/30/2008 12:00:00 AM,,,,,landslide,rain,medium,unknown,3,0,3,low,Nepal,0,14.22899,89.99938202,152.6843872,-33696000000
7306,32.3898,72.7253,08/16/2015 12:00:00 AM,,,,,landslide,mining,medium,unknown,1,2,3,low,Pakistan,27893,10.15064,89.96999359,225,-2592000000
