latitude,longitude,elevation,slope,aspect,curvature,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days,landslide
22.59420297,92.16404889,35.0,89.9930954,167.4711914,-5184000000.0,193.8,137.0,111.5,35.4,24.5,0.419008333,14.32,3,10,1
22.59420297,92.16404889,35.0,89.9930954,167.4711914,-5184000000.0,193.8,137.0,111.5,35.4,24.5,0.419008333,14.32,3,10,1
6.093508095,80.60687667,107.0,89.99137878,118.3007584,3888000000.0,64.6,57.9,41.5,31.5,23.8,0.449183333,3.99,0,10,1
8.558668245,76.89785918,20.0,89.99588013,240.9453888,-3888000000.0,213.7,185.2,57.9,29.8,23.5,0.336475,-4.32,4,10,1
34.56101506,73.86293399,1338.0,89.99781036,176.0548096,-10368000000.0,6.3,5.1,0.0,31.8,12.3,0.267983333,-0.41,0,2,1
21.556137,85.70071225,442.0,89.98199463,8.130102158,0.0,58.1,37.5,19.9,33.5,24.5,0.324716667,2.34,0,10,1
23.73354779,92.74744512,880.0,89.99881744,228.7640381,1296000000.0,148.3,114.8,59.0,31.2,16.4,0.401658333,6.02,3,10,1
27.33861278,87.67107225,1464.0,89.99848175,277.549408,16848000000.0,40.3,21.2,10.2,25.8,15.5,0.34035,0.4,0,10,1
27.33861278,87.67107225,1464.0,89.99848175,277.549408,16848000000.0,40.3,21.2,10.2,25.8,15.5,0.34035,0.4,0,10,1
13.90074546,74.66018578,81.0,89.99794006,209.0546112,0.0,639.6,580.2,489.2,29.5,23.7,0.51255,62.41,7,10,1
13.90074546,74.66018578,81.0,89.99794006,209.0546112,0.0,639.6,580.2,489.2,29.5,23.7,0.51255,62.41,7,10,1
25.11956675,94.36416626,1842.0,89.99822998,115.497551,2592000000.0,111.6,44.1,27.2,23.6,13.5,0.392725,2.38,2,10,1
24.19467451,91.82931979,33.0,89.98726654,216.8699036,-3888000000.0,152.4,138.7,32.8,34.4,24.6,0.421108333,-11.6,2,10,1
22.65242372,92.15898865,48.0,89.99099731,135.0,-3888000000.0,390.4,357.8,305.2,35.2,24.6,0.330325,41.58,5,10,1
22.65242372,92.15898865,48.0,89.99099731,135.0,-3888000000.0,390.4,357.8,305.2,35.2,24.6,0.330325,41.58,5,10,1
31.72415448,76.93732121,774.0,89.99871826,310.9143982,1296000000.0,88.2,79.1,19.8,32.2,18.6,0.3552,2.44,2,7,1
27.33861278,87.67107225,1464.0,89.99848175,277.549408,16848000000.0,40.3,21.2,10.2,25.8,15.5,0.34035,0.4,0,10,1
27.33861278,87.67107225,1464.0,89.99848175,277.549408,16848000000.0,40.3,21.2,10.2,25.8,15.5,0.34035,0.4,0,10,1
27.01145644,92.64204045,225.0,89.99914551,3.094058037,-1296000000.0,196.0,179.6,142.9,30.2,23.7,0.42295,18.59,2,10,1
15.68638494,74.16234114,793.0,89.99776459,358.9949036,-12960000000.0,382.7,346.0,241.4,25.0,19.1,0.511433333,15.63,6,10,1
6.50950401,80.23142734,15.0,89.99330902,273.0127869,1296000000.0,163.8,131.6,61.3,30.8,24.0,0.505366667,1.72,2,10,1
